bezirk,date,year,dog_value,dog_density
0,2020-09-01,2020,29,29.12
22,2020-09-01,2020,44,44.16
21,2020-09-01,2020,42,42.31
23,2020-09-01,2020,39,38.95
13,2020-09-01,2020,37,36.99
19,2020-09-01,2020,36,35.94
11,2020-09-01,2020,33,33.1
14,2020-09-01,2020,31,30.62
1,2020-09-01,2020,30,30.1
18,2020-09-01,2020,26,26.29
10,2020-09-01,2020,25,24.7
17,2020-09-01,2020,24,24.06
12,2020-09-01,2020,24,24.01
2,2020-09-01,2020,24,23.71
3,2020-09-01,2020,24,23.71
9,2020-09-01,2020,21,21.27
20,2020-09-01,2020,21,20.61
6,2020-09-01,2020,20,20.19
4,2020-09-01,2020,20,19.69
16,2020-09-01,2020,20,19.59
8,2020-09-01,2020,19,19.22
7,2020-09-01,2020,18,18.15
15,2020-09-01,2020,17,17.2
5,2020-09-01,2020,17,16.89
