index,bezirk,avg_income_total,avg_income_men,avg_income_women,avg_income_fulltime_total,avg_income_fulltime_men,avg_income_fulltime_women
368,1,33.256,39.889,26.266,59.127,69.163,46.858
369,2,22.286,24.349,19.975,34.977,36.627,32.525
370,3,24.172,26.577,21.614,38.579,40.882,35.488
371,4,25.878,29.397,22.219,43.797,48.224,38.123
372,5,20.479,21.832,18.972,33.577,34.846,31.823
373,6,23.971,26.7,21.223,40.104,43.04,36.439
374,7,25.1,27.92,22.355,41.54,44.19,38.324
375,8,25.142,28.198,22.088,44.089,47.844,39.398
376,9,24.701,27.464,22.029,41.763,44.816,38.129
377,10,19.478,20.761,17.864,29.692,30.407,28.449
378,11,21.606,23.712,19.22,30.315,31.435,28.457
379,12,20.537,22.004,18.823,31.53,32.454,30.072
380,13,29.575,34.726,24.497,44.737,49.167,38.613
381,14,23.755,26.011,21.325,35.812,37.62,33.196
382,15,18.528,19.391,17.471,29.733,30.321,28.803
383,16,21.168,22.486,19.662,32.239,33.058,30.994
384,17,22.386,24.568,20.035,35.278,37.077,32.669
385,18,26.77,30.714,23.04,42.676,46.605,37.756
386,19,28.004,33.34,22.768,44.448,49.618,37.464
387,20,18.674,19.619,17.515,30.1,30.463,29.507
388,21,23.22,25.578,20.686,32.917,34.416,30.64
389,22,25.323,28.659,21.932,34.911,36.947,31.847
390,23,26.063,29.719,22.35,36.394,38.796,32.805
